specialty_description,hcp_n,rx_total,first,innov,dpp4,legacy,insulin,tzd,gap,innov_score
Family Practice,81156,28299511.0,0.416,0.217,0.052,0.139,0.139,0.036,0.779,0.217
Internal Medicine,61579,25892515.0,0.389,0.218,0.065,0.138,0.161,0.029,0.951,0.218
Nurse Practitioner,76363,15067123.0,0.364,0.272,0.048,0.113,0.181,0.023,1.303,0.272
Endocrinology,5974,8383699.0,0.187,0.326,0.034,0.092,0.333,0.027,2.595,0.326
Physician Assistant,24297,4957593.0,0.38,0.28,0.044,0.107,0.161,0.028,1.105,0.28
General Practice,4718,2158483.0,0.411,0.111,0.057,0.205,0.181,0.035,1.046,0.111
Cardiology,9721,888979.0,0.214,0.663,0.03,0.057,0.027,0.009,0.284,0.663
Geriatric Medicine,1360,503996.0,0.359,0.153,0.097,0.112,0.262,0.017,1.334,0.153
Nephrology,4211,418807.0,0.171,0.493,0.091,0.118,0.111,0.017,2.068,0.493
Pharmacist,1202,406110.0,0.28,0.286,0.008,0.151,0.254,0.02,1.892,0.286
Emergency Medicine,1181,314630.0,0.371,0.206,0.067,0.129,0.198,0.028,1.108,0.206
Hospitalist,2295,313946.0,0.358,0.214,0.075,0.096,0.241,0.016,1.377,0.214
Student in an Organized Health Care Education/Training Program,5447,174801.0,0.497,0.335,0.031,0.037,0.094,0.006,0.703,0.335
Pediatric Medicine,743,134111.0,0.429,0.241,0.047,0.122,0.133,0.028,0.793,0.241
Interventional Cardiology,1852,121439.0,0.115,0.837,0.014,0.018,0.009,0.007,0.149,0.837
Pulmonary Disease,623,92161.0,0.394,0.191,0.095,0.122,0.176,0.023,1.129,0.191
Certified Clinical Nurse Specialist,282,76395.0,0.234,0.332,0.036,0.08,0.298,0.02,2.45,0.332
Infectious Disease,756,75896.0,0.455,0.24,0.078,0.083,0.124,0.02,0.684,0.24
Osteopathic Manipulative Medicine,220,71956.0,0.405,0.225,0.065,0.129,0.144,0.032,0.773,0.225
Advanced Heart Failure and Transplant Cardiology,645,68152.0,0.019,0.972,0.004,0.002,0.003,0.0,0.103,0.972
